name,accuracy,precision,recall,f1
naive_bayes__bag_of_words__1-gram__standard__lemmatize__content_features__sentiment_features__none,0.494,0.549,0.557,0.489
naive_bayes__bag_of_words__1-gram__standard__lemmatize__content_features__none__none,0.494,0.549,0.557,0.489
naive_bayes__bag_of_words__1-gram__standard__lemmatize__none__sentiment_features__none,0.493,0.551,0.559,0.488
naive_bayes__bag_of_words__1-gram__standard__lemmatize__none__none__none,0.492,0.55,0.558,0.487
naive_bayes__bag_of_words__1-gram__standard__none__content_features__sentiment_features__none,0.47,0.537,0.542,0.467
naive_bayes__bag_of_words__1-gram__standard__none__content_features__none__none,0.466,0.535,0.539,0.463
naive_bayes__bag_of_words__1-gram__standard__none__none__sentiment_features__none,0.467,0.541,0.546,0.465
naive_bayes__bag_of_words__1-gram__standard__none__none__none__none,0.471,0.549,0.554,0.469
naive_bayes__bag_of_words__1-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.485,0.549,0.556,0.481
naive_bayes__bag_of_words__1-gram__finegrained__lemmatize__content_features__none__none,0.487,0.552,0.56,0.484
naive_bayes__bag_of_words__1-gram__finegrained__lemmatize__none__sentiment_features__none,0.486,0.553,0.561,0.483
naive_bayes__bag_of_words__1-gram__finegrained__lemmatize__none__none__none,0.485,0.552,0.56,0.482
naive_bayes__bag_of_words__1-gram__finegrained__none__content_features__sentiment_features__none,0.465,0.541,0.546,0.463
naive_bayes__bag_of_words__1-gram__finegrained__none__content_features__none__none,0.465,0.541,0.546,0.463
naive_bayes__bag_of_words__1-gram__finegrained__none__none__sentiment_features__none,0.462,0.542,0.546,0.46
naive_bayes__bag_of_words__1-gram__finegrained__none__none__none__none,0.462,0.542,0.546,0.46
naive_bayes__bag_of_words__1-gram__none__lemmatize__content_features__sentiment_features__none,0.452,0.537,0.54,0.451
naive_bayes__bag_of_words__1-gram__none__lemmatize__content_features__none__none,0.455,0.538,0.541,0.454
naive_bayes__bag_of_words__1-gram__none__lemmatize__none__sentiment_features__none,0.459,0.546,0.55,0.459
naive_bayes__bag_of_words__1-gram__none__lemmatize__none__none__none,0.462,0.55,0.554,0.461
naive_bayes__bag_of_words__1-gram__none__none__content_features__sentiment_features__none,0.441,0.53,0.532,0.44
naive_bayes__bag_of_words__1-gram__none__none__content_features__none__none,0.441,0.53,0.532,0.44
naive_bayes__bag_of_words__1-gram__none__none__none__sentiment_features__none,0.438,0.534,0.535,0.438
naive_bayes__bag_of_words__1-gram__none__none__none__none__none,0.436,0.532,0.534,0.436
naive_bayes__bag_of_words__2-gram__standard__lemmatize__content_features__sentiment_features__none,0.549,0.569,0.585,0.534
naive_bayes__bag_of_words__2-gram__standard__lemmatize__content_features__none__none,0.548,0.567,0.583,0.533
naive_bayes__bag_of_words__2-gram__standard__lemmatize__none__sentiment_features__none,0.548,0.568,0.584,0.533
naive_bayes__bag_of_words__2-gram__standard__lemmatize__none__none__none,0.547,0.568,0.583,0.532
naive_bayes__bag_of_words__2-gram__standard__none__content_features__sentiment_features__none,0.538,0.564,0.579,0.526
naive_bayes__bag_of_words__2-gram__standard__none__content_features__none__none,0.538,0.564,0.579,0.526
naive_bayes__bag_of_words__2-gram__standard__none__none__sentiment_features__none,0.534,0.562,0.576,0.522
naive_bayes__bag_of_words__2-gram__standard__none__none__none__none,0.536,0.564,0.579,0.524
naive_bayes__bag_of_words__2-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.533,0.572,0.586,0.524
naive_bayes__bag_of_words__2-gram__finegrained__lemmatize__content_features__none__none,0.531,0.571,0.586,0.523
naive_bayes__bag_of_words__2-gram__finegrained__lemmatize__none__sentiment_features__none,0.526,0.567,0.58,0.517
naive_bayes__bag_of_words__2-gram__finegrained__lemmatize__none__none__none,0.528,0.57,0.584,0.52
naive_bayes__bag_of_words__2-gram__finegrained__none__content_features__sentiment_features__none,0.514,0.563,0.575,0.507
naive_bayes__bag_of_words__2-gram__finegrained__none__content_features__none__none,0.514,0.563,0.575,0.507
naive_bayes__bag_of_words__2-gram__finegrained__none__none__sentiment_features__none,0.509,0.562,0.573,0.503
naive_bayes__bag_of_words__2-gram__finegrained__none__none__none__none,0.508,0.561,0.572,0.502
naive_bayes__bag_of_words__2-gram__none__lemmatize__content_features__sentiment_features__none,0.522,0.573,0.587,0.516
naive_bayes__bag_of_words__2-gram__none__lemmatize__content_features__none__none,0.521,0.573,0.586,0.515
naive_bayes__bag_of_words__2-gram__none__lemmatize__none__sentiment_features__none,0.52,0.573,0.586,0.514
naive_bayes__bag_of_words__2-gram__none__lemmatize__none__none__none,0.521,0.574,0.587,0.515
naive_bayes__bag_of_words__2-gram__none__none__content_features__sentiment_features__none,0.506,0.569,0.579,0.502
naive_bayes__bag_of_words__2-gram__none__none__content_features__none__none,0.507,0.569,0.58,0.503
naive_bayes__bag_of_words__2-gram__none__none__none__sentiment_features__none,0.505,0.569,0.58,0.501
naive_bayes__bag_of_words__2-gram__none__none__none__none__none,0.506,0.571,0.582,0.502
naive_bayes__bag_of_words__3-gram__standard__lemmatize__content_features__sentiment_features__none,0.629,0.618,0.646,0.605
naive_bayes__bag_of_words__3-gram__standard__lemmatize__content_features__none__none,0.631,0.619,0.647,0.607
naive_bayes__bag_of_words__3-gram__standard__lemmatize__none__sentiment_features__none,0.627,0.614,0.642,0.602
naive_bayes__bag_of_words__3-gram__standard__lemmatize__none__none__none,0.627,0.614,0.642,0.602
naive_bayes__bag_of_words__3-gram__standard__none__content_features__sentiment_features__none,0.633,0.619,0.647,0.607
naive_bayes__bag_of_words__3-gram__standard__none__content_features__none__none,0.633,0.619,0.647,0.607
naive_bayes__bag_of_words__3-gram__standard__none__none__sentiment_features__none,0.629,0.616,0.643,0.604
naive_bayes__bag_of_words__3-gram__standard__none__none__none__none,0.628,0.615,0.642,0.603
naive_bayes__bag_of_words__3-gram__finegrained__lemmatize__content_features__sentiment_features__none,0.606,0.616,0.644,0.59
naive_bayes__bag_of_words__3-gram__finegrained__lemmatize__content_features__none__none,0.606,0.616,0.644,0.59
naive_bayes__bag_of_words__3-gram__finegrained__lemmatize__none__sentiment_features__none,0.606,0.616,0.644,0.59
naive_bayes__bag_of_words__3-gram__finegrained__lemmatize__none__none__none,0.605,0.615,0.643,0.589
naive_bayes__bag_of_words__3-gram__finegrained__none__content_features__sentiment_features__none,0.603,0.611,0.638,0.586
naive_bayes__bag_of_words__3-gram__finegrained__none__content_features__none__none,0.605,0.613,0.64,0.588
naive_bayes__bag_of_words__3-gram__finegrained__none__none__sentiment_features__none,0.602,0.611,0.637,0.585
naive_bayes__bag_of_words__3-gram__finegrained__none__none__none__none,0.6,0.608,0.634,0.583
